"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 13 14:59:58 IST 2022","Tue Sep 13 15:00:08 IST 2022","10857","","POPractice.spec.js","","","","E2E for adidas original",""
"passed","Tue Sep 13 14:59:45 IST 2022","Tue Sep 13 14:59:58 IST 2022","12497","","POPractice.spec.js","","","","E2E for iphone 13 pro",""
